precinct,votedifference,trump
"Peters B-1 Voting Precinct",270,685
MARION,271,423
"Bentleyville Voting Precinct",273,716
"LONDONDERRY TWP--3RD PRECINCT",274,457
"Fallowfield 4 Voting Precinct",276,476
"Cresson Borough Voting Precinct",277,509
"Hopewell Voting Precinct",279,401
"Carroll 4 Voting Precinct",281,664
"Westmont Borough No. 3 Voting Precinct",281,726
"HOWARD TWP",285,419
"North Whitehall 4th District",285,910
"Canton 4 Voting Precinct",289,587
"430 LOWER OXFORD W",292,705
"Adams Township- - Gramlingtown Voting Precinc",292,411
"North Strabane 3 Voting Precinct",292,631
"Richland Township No. 5 Voting Precinct",293,507
"West Bethlehem Voting Precinct",293,514
"ELIZABETHVILLE BOROUGH",294,444
"Washington Voting Precinct",298,448
"Cresson Township - North Voting Precinct",299,526
"Somerset 1 Voting Precinct",299,529
"North Strabane 2 Voting Precinct",301,950
"Richland Township No. 3 Voting Precinct",301,466
"BENNER SOUTH",303,956
"Conemaugh Township - Cover Hil Voting Precinc",303,425
"North Bethlehem Voting Precinct",306,606
"Independence 1 Voting Precinct",307,395
"Washington Eastern District",308,513
26-02,311,491
"WILLIAMS TWP",311,413
"380 W NANTMEAL",312,821
"North Franklin 1 Voting Precinct",314,758
"Munster Township Voting Precinct",317,377
"Northern Cambria Borough - Nor Voting Precinc",318,492
"435 UPPER OXFORD",320,831
"Upper Hanover 3",320,707
"Somerset 2 Voting Precinct",322,570
"South Strabane 6 Voting Precinct",322,648
"Richland Township No. 2 Voting Precinct",323,658
TAYLOR,323,423
"Summerhill Township - South Voting Precinct",324,468
"Canton 2 Voting Precinct",326,804
"Cecil 5 Voting Precinct",329,888
"New Hanover 2",329,1299
"Richland Township No. 1 Voting Precinct",329,581
"POTTER SOUTH",330,858
"SPRING EAST",333,662
"Northern Cambria Borough - Cen Voting Precinc",334,477
"North Whitehall 5th District",335,876
"LYKENS TOWNSHIP",336,423
"SNOW SHOE EAST",338,493
"Conemaugh Township - Center Voting Precinct",339,492
"South Franklin 1 Voting Precinct",341,508
"406 EAST NOTTINGHAM WEST",343,1240
"Croyle Township - No. 2 Voting Precinct",346,520
"North Whitehall 1st District",346,1308
"POTTER NORTH",346,627
"Croyle Township No. 1 Voting Precinct",347,502
"Donegal 1 Voting Precinct",347,482
"Geistown Borough No. 2 Voting Precinct",347,607
"Chartiers 7 Voting Precinct",354,871
HUSTON,356,574
"Center Voting Precinct",358,502
"235 W FALLOWFIELD",359,774
"Cambria Township No. 1 Voting Precinct",359,689
"Perry Voting Precinct",359,592
"New Hanover 1",360,1460
"Gallitzin Borough Voting Precinct",364,562
"LOWER SWATARA TWP--1ST PRECINCT",365,949
"MIDDLE PAXTON TWP--1ST PRECINCT",365,689
"545 W SADSBURY",366,758
"BOGGS EAST",366,502
"Canton 5 Voting Precinct",369,758
"Cambria Township - Colver Voting Precinct",370,535
"Hanover 1 Voting Precinct",370,587
"CONEWAGO TWP--1ST PRECINCT",373,671
"Dunkard #2 Voting Precinct",373,495
Lowhill,376,920
"Summerhill Township - North Voting Precinct",379,516
"BENNER NORTH",383,828
"060 W CALN 1",384,1336
"Douglass 3",384,1214
"Cambria Township No. 4 Voting Precinct",385,618
"Cecil 6 Voting Precinct",391,1233
"Richland Township No. 7 Voting Precinct",393,656
"Susquehanna Township - North Voting Precinct",394,511
"Upper Yoder Township No. 1 Voting Precinct",396,703
"Cumberland #4 Voting Precinct",399,763
"Nottingham 1 Voting Precinct",399,742
"North Whitehall 2nd District",403,1244
"LONDONDERRY TWP--1ST PRECINCT",407,722
"Portage Township - Southwest Voting Precinct",407,705
"WAYNE TOWNSHIP",419,622
"Donegal 2 Voting Precinct",421,540
"300 HONEYBROOK TWP 1",429,920
"Adams Township No. 1 Voting Precinct",430,676
Salford,432,1185
"Reade Township Voting Precinct",433,566
"East Finley Voting Precinct",434,531
Marlborough,440,1289
"405 EAST NOTTINGHAM EAST",442,1488
"East Carroll Township - South Voting Precinct",443,589
"Portage Township Center Voting Precinct",443,676
"Upper Milford Western District",444,1367
"Gallitzin Township Voting Precinct",452,587
"Lynn New Tripoli District",457,982
"RUSH NORTH",464,797
"Douglass 1",465,903
"Mt Pleasant 1 Voting Precinct",471,931
"LONDONDERRY TWP--2ND PRECINCT",474,784
"Adams Township - Elton Voting Precinct",476,714
GREGG,483,900
"Peters B-2 Voting Precinct",485,1050
"410 W NOTTINGHAM",487,886
LIBERTY,487,711
"WALKER WEST",490,1182
"301 HONEYBROOK TWP 2",495,1413
"BOGGS WEST",497,706
"Franklin East Voting Precinct",497,890
"East Taylor Township - No. 1 Voting Precinct",498,715
"HALIFAX TWP--1ST PRECINCT",503,718
"WEST HANOVER TWP--1ST PRECINCT",504,767
"MILLERSBURG BOROUGH",510,850
"South Franklin 2 Voting Precinct",516,785
"UPPER PAXTON TWP--2ND PRECINCT",517,678
"Clearfield Township Voting Precinct",519,734
"WALKER EAST",519,759
"Peters B-3 Voting Precinct",523,1102
"Jackson Township - Vinco Voting Precinct",524,758
"Cumberland #1 Voting Precinct",529,870
"MIDDLE PAXTON TWP--3RD PRECINCT",531,837
"HALIFAX TWP--2ND PRECINCT",532,747
"Blacklick Township Voting Precinct",533,794
"Amwell 2 Voting Precinct",548,732
UNION,555,723
"JACKSON TOWNSHIP",556,834
"WASHINGTON TOWNSHIP",556,828
"Amwell 1 Voting Precinct",563,851
"EAST HANOVER TOWNSHIP--1ST PRECINCT",571,1204
"Jackson Township No.3 Voting Precinct",574,771
"UPPER PAXTON TWP--1ST PRECINCT",574,865
"061 W CALN 2",580,1606
"Allegheny Township Voting Precinct",582,792
"Buffalo Voting Precinct",587,865
"Lower Milford",607,1540
"Peters D-1 Voting Precinct",618,1247
"EAST HANOVER TOWNSHIP--2ND PRECINCT",708,1118
Heidelberg,722,1324
"Washington Southern District",818,1617
"Barr Township Voting Precinct",823,1023
Weisenberg,953,2062
